# avg_r,avg_g
29.36,97.23
37.32,102.89
33.08,101.93
37.85,99.94
27.55,98.58
41.86,105.94
33.87,101.19
34.26,101.02
33.67,101.94
35.33,101.67
38.03,97.50
37.58,93.44
31.59,101.64
38.95,101.07
37.95,96.95
33.02,97.20
37.25,98.43
30.47,102.14
38.61,99.72
35.84,100.85
39.40,105.51
34.35,101.33
38.26,97.29
33.36,100.14
37.40,105.06
38.97,99.66
33.64,101.15
35.58,101.38
33.57,97.30
41.40,95.89
36.65,103.21
36.64,100.15
38.79,96.90
33.59,98.63
37.31,105.71
37.38,95.95
34.67,98.13
36.87,103.08
28.19,100.65
38.36,102.12
38.23,96.70
34.95,100.13
34.74,101.52
36.48,94.04
37.80,99.74
35.37,100.89
32.01,100.46
32.16,103.56
38.77,98.90
38.68,95.65
33.38,98.73
38.22,97.15
36.15,96.50
34.42,96.62
33.38,98.71
34.69,98.80
33.01,105.09
36.23,97.40
36.83,103.16
33.59,99.46
40.66,99.95
35.87,102.28
38.77,100.56
31.51,98.52
31.64,96.58
39.16,97.33
32.26,100.62
35.11,101.98
34.88,102.74
35.61,99.88
31.60,97.21
30.58,102.67
34.66,97.36
34.92,99.83
34.19,102.72
34.38,98.99
33.33,101.45
32.32,102.51
36.09,103.31
35.03,98.33
39.98,100.56
35.91,101.25
36.43,97.36
34.43,104.40
34.87,99.26
37.92,99.68
33.75,102.44
35.71,102.47
34.00,100.33
34.14,100.51
42.64,98.00
38.12,104.14
35.85,101.54
37.18,101.82
31.44,98.83
38.68,99.18
35.18,97.14
35.78,100.95
32.01,104.09
30.76,97.41
39.51,98.21
36.27,98.61
37.68,100.50
32.71,102.81
34.51,101.67
31.34,98.80
35.74,102.30
36.64,104.12
37.78,106.25
33.49,101.20
33.39,103.06
39.11,99.93
35.02,103.24
35.08,105.29
41.11,103.60
31.88,103.96
41.62,98.16
33.95,99.55
30.42,96.91
33.88,101.50
35.56,93.45
37.34,94.82
34.38,98.21
36.17,103.57
30.93,98.61
33.30,98.43
38.09,99.26
41.72,94.55
33.50,99.87
35.82,98.50
35.35,97.95
34.88,98.33
29.69,100.02
36.36,97.41
35.93,101.45
33.13,102.45
36.32,104.07
33.13,100.66
34.79,95.10
32.04,102.03
39.42,96.95
34.16,99.58
37.62,97.78
35.43,103.93
29.96,97.24
34.85,100.98
31.70,103.34
37.70,100.67
34.93,109.23
31.61,103.00
34.11,94.15
34.59,101.06
38.08,103.06
31.64,94.16
39.27,101.27
34.11,97.17
38.74,99.84
35.98,98.01
38.16,100.05
29.02,99.27
33.37,100.68
30.90,101.04
34.17,101.69
32.41,102.78
33.42,98.93
34.19,97.70
33.31,99.71
39.98,101.99
33.21,101.47
34.09,100.74
36.55,104.00
38.17,105.33
32.41,108.65
36.02,102.39
31.33,100.16
37.57,103.06
37.74,99.02
37.68,101.74
32.54,98.85
32.72,99.61
38.76,96.81
30.42,96.37
40.54,100.71
33.72,96.41
40.58,96.03
29.51,97.95
31.02,98.49
33.03,95.74
35.98,96.21
35.06,101.31
32.89,103.26
39.57,102.06
36.56,98.22
37.10,100.88
37.46,99.42
31.46,102.51
34.51,98.39
33.95,97.70
34.95,99.71
29.97,99.19
35.10,96.67
35.06,101.82
32.21,97.97
30.24,99.58
31.75,96.72
38.51,101.48
35.12,100.07
36.67,98.52
37.85,101.33
28.85,105.10
35.22,99.97
40.29,97.19
30.44,101.22
36.07,95.84
31.08,100.21
30.07,98.48
34.99,96.19
40.93,100.01
34.12,101.46
32.58,104.61
34.96,103.98
32.90,102.11
33.91,104.22
36.57,101.81
34.10,105.04
39.70,98.18
35.01,102.48
33.78,99.12
34.96,98.01
36.06,99.33
36.55,104.65
31.71,104.28
32.99,99.03
36.77,100.98
35.84,100.93
33.66,100.07
38.98,102.96
34.50,99.37
33.26,104.37
34.57,98.28
35.28,98.20
34.02,98.92
35.52,106.02
36.86,98.89
37.45,102.69
31.55,107.10
33.78,96.76
32.28,101.58
42.40,106.52
35.70,103.18
32.66,96.31
40.25,98.12
35.82,102.32
32.68,104.58
35.66,101.85
40.82,96.57
39.06,104.50
34.84,102.19
36.13,107.28
33.84,103.73
38.13,100.48
31.56,97.65
32.97,105.35
32.28,105.12
38.82,99.30
28.96,98.55
33.35,100.12
36.81,103.12
38.15,101.33
37.10,100.06
39.03,102.48
35.42,102.95
35.35,104.26
33.73,99.01
34.18,96.03
36.07,97.97
35.21,101.36
35.40,99.11
31.79,100.74
35.26,96.27
30.57,95.31
35.54,97.04
37.78,103.09
33.79,100.69
33.08,101.23
36.08,96.99
36.07,95.42
40.60,100.40
33.15,102.34
36.35,100.22
36.75,99.13
34.51,101.07
32.89,97.20
36.02,102.74
32.78,98.92
31.45,98.64
33.38,102.78
37.03,100.43
33.33,101.28
36.18,103.80
39.36,94.86
33.00,101.50
34.49,97.44
37.69,104.88
36.23,93.21
34.86,99.58
38.19,104.94
34.51,98.19
28.46,99.65
35.48,100.58
38.27,97.10
35.90,104.38
33.63,106.26
37.61,99.32
39.92,102.24
28.91,103.48
41.74,100.18
33.00,97.39
34.56,99.38
36.46,102.88
28.48,97.50
34.27,99.93
35.22,96.74
33.38,100.31
31.23,97.92
36.32,101.79
35.72,97.39
32.45,103.36
37.47,97.03
38.57,101.85
32.48,99.99
33.94,102.57
34.81,100.38
32.85,100.91
38.39,93.62
35.49,106.58
40.28,101.54
39.51,99.41
32.28,99.90
37.10,100.30
41.54,98.88
30.29,97.74
38.91,102.44
38.42,97.18
33.91,100.27
37.04,102.04
34.70,96.56
33.85,101.17
32.47,98.38
29.68,101.71
35.02,100.43
34.63,95.82
36.58,96.92
38.84,105.19
33.95,100.24
33.73,102.32
34.47,101.24
35.54,103.23
32.01,96.49
32.05,97.77
32.17,101.32
38.85,100.98
34.09,102.05
32.70,98.29
34.53,103.76
31.86,96.40
37.43,98.04
36.70,99.55
35.43,103.65
32.34,97.10
31.70,97.29
29.57,101.23
36.19,102.53
36.18,96.57
41.51,99.90
33.71,96.98
36.57,99.18
30.09,97.40
39.57,102.31
38.12,97.56
38.39,101.81
33.98,99.89
29.13,96.62
31.46,102.70
31.55,104.10
32.78,101.55
30.06,102.66
26.59,96.30
36.53,100.10
36.14,105.55
34.59,98.59
32.30,102.92
31.12,101.65
30.37,100.08
35.66,102.06
35.50,101.30
33.66,96.59
34.44,97.73
33.92,100.27
38.15,102.06
38.61,97.22
32.49,96.28
31.60,104.07
34.91,103.47
35.22,98.97
36.48,103.19
34.16,100.51
31.77,99.30
32.45,102.70
41.36,99.86
33.56,101.72
32.83,96.69
35.06,94.43
35.13,97.17
32.14,96.78
37.48,101.96
33.67,98.16
33.23,105.97
33.59,105.34
36.28,98.06
30.06,100.91
30.66,98.91
38.15,97.28
36.00,105.46
34.20,106.00
35.64,102.74
38.14,102.23
30.82,98.37
39.80,101.84
30.82,99.17
35.41,96.79
34.79,104.29
30.67,98.84
32.93,100.29
35.63,98.02
35.11,104.33
29.17,98.43
37.39,98.29
36.33,95.88
33.98,101.93
36.45,104.19
34.77,101.98
38.47,101.62
38.59,99.35
35.16,102.18
34.49,104.18
30.64,103.09
39.64,101.72
33.14,98.98
33.16,100.53
35.57,95.39
34.80,103.01
32.03,97.31
40.53,100.72
37.08,103.56
36.83,100.46
34.26,97.66
35.54,93.27
37.96,93.16
38.44,101.92
35.75,97.59
32.97,100.43
34.98,98.83
34.68,98.40
33.97,94.60
35.84,98.72
32.67,103.13
34.69,97.54
32.45,102.83
33.40,97.22
37.75,96.63
39.51,94.44
34.49,101.36
33.54,98.95
27.13,102.20
32.75,100.40
33.39,96.13
33.94,101.11
33.69,106.64
33.61,99.33
36.78,99.98
26.84,98.48
32.12,103.99
36.09,101.83
32.82,100.66
36.23,95.94
30.95,106.18
33.84,94.82
36.04,98.69
34.38,99.47
28.56,100.80
40.62,101.31
36.80,98.17
35.22,107.81
34.54,101.13
37.95,101.49
35.54,95.96
36.28,94.75
36.41,101.22
36.68,104.80
35.73,95.42
32.78,100.09
33.32,99.01
40.66,97.71
29.90,104.18
33.40,101.58
37.90,102.11
36.23,101.60
30.79,99.51
30.02,104.62
39.30,101.80
31.86,101.22
34.24,101.24
31.69,100.68
35.03,105.89
36.46,103.21
30.23,98.12
40.18,101.74
35.69,98.30
31.11,100.81
34.62,96.25
36.45,102.35
36.59,98.04
35.08,96.15
31.01,101.24
32.01,100.02
36.01,98.41
35.77,99.63
36.67,97.99
35.73,98.15
36.42,102.33
34.18,95.84
33.42,97.94
33.73,101.10
38.07,94.75
32.19,96.54
38.40,102.50
35.08,101.84
28.52,99.98
31.45,98.42
33.73,97.39
34.13,100.26
37.39,102.90
32.34,97.85
34.06,98.15
34.34,97.54
30.45,103.95
34.34,98.43
34.03,98.14
29.41,98.88
37.26,103.26
34.82,100.58
32.27,99.26
33.43,101.83
39.75,95.37
32.77,96.54
35.72,98.62
39.78,96.19
37.11,98.02
34.46,101.14
32.49,101.66
34.25,94.51
31.51,99.86
34.22,98.51
38.28,103.62
33.18,99.38
31.81,97.30
32.87,98.85
31.15,98.39
35.79,99.68
38.19,98.83
33.44,96.27
31.83,106.72
36.73,103.32
32.40,96.97
32.61,96.11
30.12,98.45
35.74,99.41
35.71,99.98
34.13,102.91
34.64,95.71
40.22,105.75
36.14,99.26
33.43,102.64
29.53,97.63
35.09,97.41
34.84,98.14
36.70,102.43
34.04,98.72
33.43,102.14
34.66,100.56
31.33,100.54
34.39,100.81
33.98,98.95
31.52,101.65
34.45,96.37
33.62,100.87
39.45,101.18
37.38,102.64
38.04,100.17
32.79,95.36
31.87,100.19
35.91,100.34
33.91,101.59
29.91,102.27
33.17,98.40
40.49,101.23
31.25,97.36
33.19,101.82
28.31,108.29
39.98,98.70
34.12,99.54
34.90,96.65
32.11,106.93
32.39,98.89
29.13,97.45
35.14,98.21
36.69,97.34
32.74,100.58
36.42,91.29
37.57,99.64
39.72,97.02
35.86,99.64
38.73,96.48
30.83,96.49
36.13,103.06
36.75,104.55
33.99,99.99
35.62,104.55
35.31,103.26
34.94,103.96
35.20,97.71
33.77,100.20
33.55,100.01
31.66,97.63
35.10,105.64
33.88,103.46
37.98,102.40
37.90,104.43
35.29,98.58
34.47,96.92
35.60,100.80
41.28,99.28
33.16,102.24
39.20,101.15
38.93,103.73
33.48,101.46
32.41,101.25
32.63,100.73
35.27,102.92
40.93,101.83
32.44,105.42
30.60,104.72
35.81,94.00
36.65,99.46
27.88,96.91
33.17,99.02
32.70,97.17
31.59,103.32
36.38,101.86
33.00,101.39
36.97,99.36
36.85,102.15
37.55,98.48
30.61,100.09
34.48,98.74
31.08,103.06
34.40,100.91
40.39,99.30
32.96,101.20
37.02,99.76
33.94,95.06
33.60,100.70
32.69,94.78
36.43,104.90
35.26,99.12
27.54,102.74
36.25,96.93
34.80,101.28
36.02,96.46
36.76,103.11
35.14,107.35
34.23,97.09
40.13,99.56
35.96,92.19
40.01,101.75
35.53,102.40
33.84,100.24
42.01,103.06
33.63,99.94
29.82,101.87
31.97,95.57
33.45,96.29
36.19,103.96
33.13,98.75
37.37,103.46
32.80,101.71
29.99,98.51
32.96,98.10
38.57,102.31
42.84,101.05
36.28,97.73
36.73,98.09
35.24,98.47
30.15,102.13
32.40,98.00
35.07,99.52
34.32,95.40
34.23,101.69
32.03,98.66
33.52,96.26
35.11,102.27
36.16,102.86
37.91,102.05
38.32,102.64
36.28,101.29
34.80,99.07
34.86,95.65
35.40,102.80
32.60,97.92
34.54,99.55
43.21,106.28
33.92,106.12
39.07,104.72
32.22,94.84
34.70,93.83
32.29,99.80
37.42,100.39
34.06,97.28
37.11,99.04
40.34,104.23
36.17,100.69
35.21,102.05
36.01,101.13
35.13,98.06
34.60,99.39
34.93,102.19
37.34,96.65
35.53,100.65
33.59,107.01
36.35,100.49
30.91,104.08
35.88,98.47
33.59,99.15
35.17,96.99
38.02,100.92
34.48,101.23
29.28,97.84
36.09,100.45
37.55,99.13
35.77,98.44
29.45,107.29
33.92,101.24
37.05,103.60
30.34,103.06
35.48,98.04
38.45,102.34
30.31,104.32
37.60,102.53
38.12,94.13
39.12,101.44
34.01,99.58
33.25,93.14
37.16,101.66
30.93,103.98
37.65,101.92
36.09,102.25
35.75,102.29
39.23,99.75
35.93,103.41
33.41,103.68
32.31,100.93
32.43,96.08
30.89,105.04
36.95,102.49
36.60,99.28
41.33,103.00
39.44,98.92
33.34,102.30
40.71,102.08
32.48,103.92
36.10,100.84
36.14,104.21
35.71,103.96
34.51,102.18
34.03,102.77
31.51,95.27
36.67,99.58
35.61,100.37
38.51,102.62
33.92,97.40
33.34,101.18
40.25,102.01
38.24,101.67
32.17,96.96
35.64,100.97
35.12,100.87
37.47,96.94
31.93,99.73
36.22,103.97
33.57,100.34
36.12,103.86
32.04,96.99
31.60,102.10
35.44,93.97
27.18,101.74
37.44,99.92
34.07,100.15
41.02,94.89
32.99,104.27
37.54,99.41
30.01,103.67
33.35,96.07
38.47,95.59
30.13,97.56
30.64,100.54
33.49,96.61
35.90,102.76
35.51,95.07
37.46,99.41
34.26,98.26
30.99,100.55
31.42,97.38
34.84,99.22
37.31,102.70
31.27,97.06
32.59,97.23
33.31,97.53
37.35,98.31
39.03,101.60
35.32,94.80
34.47,103.46
39.59,98.22
33.35,98.99
31.41,99.95
40.18,102.56
29.20,102.49
35.72,99.74
31.96,104.77
31.60,99.49
31.48,102.29
42.09,100.97
37.05,103.39
37.07,98.25
33.75,97.19
35.95,96.96
28.77,97.53
37.74,102.18
33.18,104.58
37.61,102.89
29.68,99.99
39.36,96.37
33.73,98.18
30.39,97.94
39.92,96.87
30.49,105.07
36.43,95.62
35.66,98.70
31.16,99.80
34.07,95.81
29.88,94.29
31.27,101.25
41.66,99.65
36.97,100.11
28.66,101.03
39.23,100.63
41.80,101.48
34.78,102.77
36.55,102.73
31.16,100.75
38.31,95.10
39.77,92.18
38.36,102.43
35.91,95.44
31.51,102.61
31.71,102.01
34.04,101.55
34.52,99.63
33.66,97.09
39.31,100.00
38.15,101.28
37.90,97.19
29.40,104.78
33.78,102.30
38.03,95.22
38.66,99.86
38.52,100.80
32.02,100.05
32.15,93.33
35.20,97.09
29.85,102.18
30.52,104.24
37.47,99.75
34.35,95.28
35.44,97.16
30.23,96.45
32.90,100.05
38.68,99.22
30.65,91.88
37.14,102.91
31.14,100.26
37.88,104.15
35.02,101.04
40.19,97.42
36.68,98.92
36.52,102.62
30.12,103.22
38.03,100.96
36.33,103.95
39.27,105.60
35.28,102.91
34.32,99.66
32.37,99.34
38.33,104.05
32.68,103.71
36.41,97.69
32.51,101.33
35.93,100.70
32.83,96.43
35.80,102.47
37.48,99.48
32.36,102.79
38.40,95.88
36.44,99.63
37.55,100.44
41.14,102.71
33.56,99.78
38.86,98.26
34.20,104.37
37.33,101.71
33.12,101.91
34.83,97.87
33.54,99.83
39.11,103.30
37.47,98.01
32.15,94.98
36.40,101.18
33.12,100.83
29.01,101.32
39.64,101.14
34.73,97.17
40.63,99.19
31.78,97.20
34.07,101.23
40.32,99.83
28.50,97.97
37.23,100.58
28.39,101.28
36.93,98.66
35.66,102.10
37.45,99.15
38.55,102.90
27.93,100.07
33.58,100.91
38.28,99.35
33.27,100.70
39.62,98.72
36.57,100.34
33.95,100.08
37.06,98.62
30.77,101.30
36.11,97.04
32.97,99.29
36.81,100.71
33.68,97.12
37.44,102.76
35.31,99.05
35.65,97.30
35.16,102.16
40.32,96.82
32.09,105.69
33.78,101.12
32.21,98.49
31.20,101.03
29.65,99.80
38.01,97.89
37.08,102.88
38.82,105.28
37.55,103.17
38.14,102.87
31.98,97.94
29.93,104.28
33.98,100.28
33.67,98.10
31.77,95.29
34.42,99.62
31.19,95.75
31.58,94.86
33.91,103.07
32.93,99.06
35.44,96.53
40.67,96.17
36.09,97.40
38.55,101.21
34.21,105.99
30.23,103.10
34.69,98.37
35.86,98.08
34.99,103.43
35.01,101.64
35.93,99.08
38.74,103.18
32.60,106.36
36.33,97.43
35.01,99.96
36.79,101.07
31.34,99.67
34.30,103.64
37.28,97.17
36.65,104.92
36.82,98.57
32.26,98.62
33.53,99.09
37.46,100.98
42.02,99.06
38.64,100.33
38.45,98.72
34.75,103.70
37.81,101.74
38.67,95.30
30.64,98.77
37.05,104.65
33.84,103.91
35.52,96.89
33.37,97.38
37.54,100.60
38.24,99.00
34.53,97.83
32.76,99.41
35.26,102.35
35.84,97.68
37.58,95.58
38.65,101.90
35.25,99.52
35.09,102.27
36.42,102.84
30.64,99.07
39.42,97.72
36.94,100.09
35.59,103.23
31.85,96.37
34.41,106.20
36.05,98.98
31.44,103.34
36.96,100.44
33.33,102.66
37.24,99.46
43.29,97.90
31.42,101.80
38.19,101.34
33.69,101.94
32.26,103.73
29.14,99.55
36.85,99.05
33.68,101.21
38.83,98.31
38.29,101.79
30.47,101.44
34.99,96.45
35.40,99.91
29.03,103.65
33.41,96.37
39.37,91.99
34.09,98.81
32.99,97.52
33.39,100.79
30.42,98.24
33.25,96.15
38.83,100.67
34.20,97.48
32.81,98.07
37.86,96.31
37.38,102.24
34.74,97.19
35.07,103.28
41.77,98.09
34.76,101.36
37.05,98.98
37.32,101.21
33.83,94.33
38.78,98.13
35.40,106.65
34.23,103.71
31.79,96.33
32.35,99.87
34.01,101.57
38.84,98.57
37.08,98.77
29.84,99.57
36.42,103.79
31.53,99.84
34.69,100.36
39.61,102.26
35.32,102.02
33.99,101.68
37.25,99.08
36.23,98.77
35.05,98.19
30.06,100.17
35.59,101.18
33.77,101.92
32.73,102.91
34.84,95.03
38.88,100.27
39.43,100.07
38.52,101.63
32.21,99.86
40.38,93.03
30.99,99.49
35.28,94.13
38.09,98.04
27.01,105.53
34.85,100.54
37.22,101.36
36.16,102.91
35.21,94.54
37.47,107.14
35.38,95.25
34.95,101.76
37.28,100.75
38.71,92.96
38.17,100.30
34.88,99.81
36.88,99.76
39.92,98.71
40.45,101.68
37.54,104.99
38.77,100.55
40.26,97.76
32.34,97.68
35.65,98.95
40.74,102.08
35.30,95.57
37.22,98.23
26.56,100.17
29.00,99.72
34.36,98.20
37.75,101.05
28.45,97.76
35.25,98.51
30.88,101.44
40.39,101.50
33.95,101.36
35.49,103.38
40.93,97.60
38.99,105.19
30.41,99.07
39.47,101.40
36.20,101.82
40.77,99.88
38.08,97.57
37.30,103.12
34.64,102.97
39.09,104.88
43.28,96.24
34.56,102.37
32.56,96.82
39.19,101.84
33.04,97.38
36.06,98.75
30.76,94.33
37.75,103.15
36.95,98.16
36.74,99.08
32.05,104.34
37.42,98.13
32.75,99.14
32.55,104.66
37.61,99.40
41.53,100.56
33.91,96.06
35.95,99.62
33.06,98.00
36.27,99.37
34.29,99.04
34.32,96.80
33.90,97.73
31.39,101.44
33.43,103.27
28.61,102.23
39.49,101.89
34.60,99.77
36.65,97.78
33.23,103.06
37.60,99.36
34.64,101.46
35.90,94.02
34.14,99.88
37.09,101.14
41.56,98.16
37.37,101.94
35.94,97.83
29.85,87.09
39.44,98.11
39.51,100.12
32.32,98.84
36.72,101.26
32.59,98.29
29.29,95.08
32.20,100.78
34.25,96.26
30.31,103.35
35.14,98.86
31.17,95.92
38.25,103.83
32.50,102.59
43.11,103.88
33.55,104.09
34.42,99.75
33.20,97.75
31.13,102.66
35.94,98.33
31.45,94.78
34.22,104.26
40.27,103.06
34.09,104.41
39.13,99.20
38.54,98.16
31.22,96.93
41.25,97.51
34.63,98.15
35.74,100.19
35.14,102.00
32.50,104.95
33.29,102.96
40.56,100.01
31.55,99.50
35.34,102.81
36.47,95.66
35.69,100.38
36.23,96.60
37.98,107.28
33.20,102.95
30.60,103.27
30.00,103.84
30.98,99.03
26.77,98.06
34.42,94.63
38.10,102.56
34.18,100.71
31.00,98.27
37.65,103.53
39.94,97.32
32.63,100.17
36.33,98.45
32.73,103.50
37.53,102.91
35.59,102.74
37.76,104.85
37.05,99.34
37.93,97.65
34.73,101.06
37.99,100.19
29.67,103.09
28.99,100.56
40.64,96.80
37.46,99.47
34.15,102.78
32.45,96.35
36.21,95.49
32.49,100.09
38.03,99.53
33.90,102.37
34.83,97.00
33.34,95.08
32.79,101.62
35.46,102.42
33.21,100.08
33.32,101.95
38.56,103.98
34.92,102.54
36.95,97.85
35.84,101.43
48.13,103.60
39.02,97.92
42.15,96.64
38.50,102.72
34.68,100.36
35.59,97.39
35.16,99.58
36.95,98.11
35.44,95.92
31.24,100.68
33.68,100.99
31.53,102.05
32.03,97.79
32.99,94.92
34.38,105.36
34.62,99.80
33.96,99.35
38.33,100.22
40.15,99.75
35.45,98.21
40.31,96.71
35.69,104.22
38.01,95.14
34.37,100.29
29.20,110.38
40.40,101.49
34.70,101.72
39.35,104.72
36.05,93.36
26.72,95.56
37.52,106.36
35.36,97.69
39.69,102.14
34.22,97.81
33.03,97.72
39.30,98.16
29.48,101.50
37.83,98.05
36.66,104.19
31.95,99.78
35.72,100.43
33.47,102.61
36.86,99.08
40.55,97.15
33.14,99.83
35.27,99.64
34.22,99.15
29.88,98.26
30.96,102.84
32.16,98.21
34.18,99.44
39.74,103.53
35.49,97.03
34.63,100.60
34.75,98.65
35.80,100.50
32.93,99.50
29.56,99.27
35.61,98.87
30.86,101.82
39.61,96.13
35.63,100.95
37.08,99.56
35.62,98.86
37.21,105.58
34.66,97.03
38.39,96.68
37.88,101.73
32.79,109.26
40.13,101.15
33.29,101.98
39.21,103.58
31.16,102.25
39.80,101.61
39.99,96.40
37.19,99.90
39.25,99.54
37.12,102.37
34.75,100.72
29.67,102.72
38.38,95.46
40.54,98.25
36.86,96.34
34.16,96.86
33.66,99.57
32.92,97.23
38.62,98.33
32.13,95.85
34.62,95.89
35.53,101.33
39.15,98.14
36.79,99.07
33.89,103.17
37.36,95.30
34.13,99.47
41.35,103.83
33.71,97.70
34.71,99.27
30.58,102.82
39.22,103.84
35.30,98.43
35.64,99.18
39.07,97.01
36.58,95.01
35.14,98.26
34.28,96.61
34.60,102.25
31.66,98.12
44.68,100.63
38.83,99.29
38.26,102.93
34.32,100.50
38.07,105.40
39.78,99.65
36.56,103.67
34.02,98.36
33.72,100.29
33.61,99.51
38.65,99.54
43.64,104.32
38.47,95.38
35.47,96.41
37.66,102.70
33.31,95.19
39.38,99.60
32.50,99.85
39.06,99.94
33.01,105.20
36.91,101.98
38.53,98.56
39.55,97.91
37.48,95.82
37.62,102.43
31.14,92.52
32.72,104.86
36.95,105.98
34.57,98.02
32.39,100.08
36.18,101.95
33.94,97.07
38.59,101.62
35.12,98.92
37.43,101.17
35.04,100.43
36.33,97.47
33.82,99.14
35.63,98.31
28.62,99.63
37.98,99.24
33.60,104.37
30.22,102.30
33.52,101.05
39.30,100.06
33.11,101.99
37.68,103.64
37.09,99.75
42.84,97.84
37.29,96.45
37.49,100.92
35.53,103.28
36.44,99.96
35.87,105.67
31.52,98.03
36.42,105.03
38.81,97.97
38.34,103.57
35.01,104.77
38.83,97.95
33.54,96.08
35.27,100.81
41.43,100.77
36.57,104.91
39.50,98.91
34.53,96.46
30.54,99.23
33.64,98.82
34.61,97.53
33.28,94.19
32.46,97.45
32.75,100.81
37.57,99.55
34.15,97.38
32.95,103.20
33.83,101.83
37.87,97.19
33.37,93.11
36.68,97.93
35.99,104.23
35.87,101.41
38.35,93.98
33.76,102.08
34.64,98.39
34.90,99.97
40.13,104.36
39.46,101.01
36.57,98.22
36.44,97.47
41.29,97.28
34.98,101.62
38.38,100.12
33.75,108.14
34.46,97.88
31.84,103.55
34.12,101.02
35.46,100.51
31.99,99.66
34.50,95.26
34.92,99.65
35.97,101.33
30.48,100.82
27.80,105.88
34.02,101.25
38.84,97.33
34.75,100.81
38.66,99.56
33.78,100.74
33.49,97.83
36.22,104.09
37.12,100.23
34.00,103.25
34.69,100.47
38.25,101.12
38.52,98.10
33.96,97.82
32.91,99.86
33.39,102.03
32.10,100.50
31.42,99.33
38.92,105.89
39.16,96.78
42.56,100.59
28.63,103.39
37.09,101.63
35.45,102.90
30.39,99.48
37.46,103.50
32.13,100.42
35.32,99.73
32.27,99.76
32.20,100.32
29.82,102.26
35.47,100.01
37.92,93.54
38.09,99.68
39.16,101.06
38.23,95.92
37.24,102.62
35.36,101.92
39.53,99.09
33.35,97.27
32.29,99.22
33.11,101.48
37.49,98.47
38.36,102.29
39.98,99.06
27.36,96.78
36.11,100.12
28.76,98.63
37.64,94.85
31.05,105.32
35.46,96.51
33.10,103.13
34.39,99.44
33.39,97.90
45.17,103.31
33.74,104.30
34.75,100.39
39.16,96.15
39.39,98.90
26.09,100.27
34.50,101.80
35.45,98.45
31.83,101.35
38.60,102.86
33.68,93.99
35.45,99.15
35.63,97.95
36.96,98.85
36.39,98.79
32.95,101.46
39.81,97.06
39.96,101.13
41.02,98.74
30.41,104.24
32.95,100.20
36.14,99.33
32.64,99.21
35.04,106.72
38.10,97.30
38.97,104.31
37.19,100.60
39.40,99.42
34.12,100.14
35.79,99.29
37.74,104.70
28.62,103.26
37.66,97.40
34.16,98.17
27.72,96.75
34.30,102.59
35.71,103.08
32.21,98.97
36.36,100.39
31.10,100.11
33.72,101.22
36.43,103.11
35.00,98.62
33.28,101.99
32.37,98.63
36.99,104.52
36.38,98.69
35.04,102.61
31.73,99.18
33.11,98.44
36.71,97.85
32.64,104.23
32.57,99.63
33.71,98.57
34.38,96.99
37.72,98.64
37.30,101.88
36.42,96.60
35.40,95.05
34.65,101.60
31.64,102.27
34.21,99.58
32.98,102.71
38.96,98.05
38.34,101.44
34.72,97.81
30.72,101.96
33.55,98.59
36.63,100.98
29.47,107.66
28.14,97.08
35.57,98.98
35.02,93.93
31.88,100.78
35.09,99.11
35.86,99.81
33.90,101.72
41.36,100.70
35.93,101.16
34.14,99.37
33.22,99.62
34.86,98.94
34.58,96.14
35.43,101.40
36.70,96.61
38.07,98.32
32.51,100.02
35.23,99.53
35.04,95.73
36.28,105.32
28.69,101.32
29.36,99.60
34.66,105.55
41.60,98.93
35.13,101.43
34.91,103.27
34.18,101.76
33.98,100.58
35.85,98.03
31.52,96.51
37.09,97.84
31.53,97.96
35.57,101.42
38.50,98.51
36.05,101.70
38.05,97.59
30.38,96.48
32.81,96.68
28.73,100.23
37.50,101.97
29.39,99.93
39.40,102.11
37.29,100.93
32.94,101.40
39.07,101.24
32.38,100.21
34.21,96.41
34.06,96.70
40.17,96.99
34.41,101.45
36.60,101.18
33.14,93.88
31.18,99.15
29.86,97.33
34.18,100.31
34.13,100.93
35.36,100.41
35.95,102.63
33.64,100.62
34.18,104.65
35.23,102.29
37.69,96.53
35.59,101.10
36.29,99.26
32.61,100.18
29.55,99.96
35.15,98.45
34.13,99.58
38.04,104.83
32.95,101.19
33.36,97.47
37.66,100.29
32.34,101.00
40.85,99.11
41.15,103.15
34.95,104.10
35.70,94.30
41.79,98.90
29.19,102.61
33.25,100.06
39.76,98.28
37.09,103.11
35.86,100.16
33.99,101.59
34.94,97.78
33.08,102.24
40.56,96.69
37.18,101.40
36.40,99.98
37.52,95.62
34.77,96.48
35.78,99.82
36.34,98.60
33.40,102.47
34.54,101.82
33.50,98.94
36.64,104.25
29.80,101.04
33.44,99.25
39.96,96.27
38.87,102.29
40.03,98.74
31.70,100.06
33.13,104.17
38.08,99.00
30.09,97.36
33.45,103.72
35.59,98.34
37.23,95.58
37.44,97.90
28.97,100.33
39.04,99.24
42.17,106.36
35.20,99.63
37.61,100.61
34.89,99.73
38.63,101.13
29.42,98.86
38.52,95.01
38.89,103.71
28.60,100.52
34.89,98.58
35.04,99.73
34.49,100.57
35.64,103.85
35.82,102.62
31.78,96.99
35.67,98.97
32.25,98.42
34.12,99.75
36.77,99.40
37.37,100.14
34.16,95.72
32.76,97.72
37.23,102.44
37.05,103.77
34.71,92.80
29.46,100.09
35.82,100.47
26.99,107.42
38.76,103.23
